?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
062,0200,062,0000,000,0000,000,0000,0000,004,0100
062,0200,063,0200,062,0200,000,0062,0000,004,0100
063,EE18,064,EE18,07C,0000,000,0018,0000,004,0100,07C,0000
064,AE14,065,AE14,079,AAAA,000,0014,AAAA,008,1000
065,0C00,066,0C00,7FF,AAAA,7FF,0065,AAAA,008,1000,7FF,AAAA
066,D68A,68A,D68A,7FE,0067,7FE,D68A,AAAA,008,1000,7FE,0067
68A,AC01,68B,AC01,7FF,AAAA,7FE,0001,AAAA,008,1000
68B,F001,68C,F001,68B,F001,7FE,068B,AAAA,008,1000
68C,F304,68D,F304,68C,F304,7FE,068C,AAAA,008,1000
68D,6E0A,68E,6E0A,698,F064,7FE,000A,BA46,008,1000
68E,F201,690,F201,68E,F201,7FE,0001,BA46,008,1000
690,4E07,691,4E07,698,F064,7FE,0007,AAAA,009,1001
691,0500,692,0500,691,AAAA,7FE,0691,5554,003,0011
692,0500,693,0500,692,5554,7FE,0692,AAA8,00A,1010
693,6E05,694,6E05,699,0061,7FE,0005,AA47,009,1001
694,CE01,696,CE01,694,0696,7FE,0001,AA47,009,1001
696,EC01,697,EC01,7FF,AA47,7FE,0001,AA47,009,1001,7FF,AA47
697,0A00,067,0A00,7FE,0067,7FF,0697,AA47,009,1001
067,0800,068,0800,7FF,AA47,000,0067,AA47,009,1001
068,4E13,069,4E13,07C,0000,000,0013,AA47,008,1000
069,EE12,06A,EE12,07C,AA47,000,0012,AA47,008,1000,07C,AA47
06A,AE10,06B,AE10,07B,CCCC,000,0010,CCCC,008,1000
06B,0C00,06C,0C00,7FF,CCCC,7FF,006B,CCCC,008,1000,7FF,CCCC
06C,D68A,68A,D68A,7FE,006D,7FE,D68A,CCCC,008,1000,7FE,006D
68A,AC01,68B,AC01,7FF,CCCC,7FE,0001,CCCC,008,1000
68B,F001,68C,F001,68B,F001,7FE,068B,CCCC,008,1000
68C,F304,68D,F304,68C,F304,7FE,068C,CCCC,008,1000
68D,6E0A,68E,6E0A,698,F064,7FE,000A,DC68,008,1000
68E,F201,690,F201,68E,F201,7FE,0001,DC68,008,1000
690,4E07,691,4E07,698,F064,7FE,0007,CCCC,009,1001
691,0500,692,0500,691,CCCC,7FE,0691,9998,009,1001
692,0500,693,0500,692,9998,7FE,0692,3330,003,0011
693,6E05,694,6E05,699,0061,7FE,0005,32CF,001,0001
694,CE01,696,CE01,694,0696,7FE,0001,32CF,001,0001
696,EC01,697,EC01,7FF,32CF,7FE,0001,32CF,001,0001,7FF,32CF
697,0A00,06D,0A00,7FE,006D,7FF,0697,32CF,001,0001
06D,0800,06E,0800,7FF,32CF,000,006D,32CF,001,0001
06E,0700,06F,0700,06E,0700,000,006E,32D0,000,0000
06F,4E0C,070,4E0C,07C,AA47,000,000C,DD17,008,1000
070,EE0B,071,EE0B,07C,DD17,000,000B,DD17,008,1000,07C,DD17
071,AE08,072,AE08,07A,BBBB,000,0008,BBBB,008,1000
072,0C00,073,0C00,7FF,BBBB,7FF,0072,BBBB,008,1000,7FF,BBBB
073,D68A,68A,D68A,7FE,0074,7FE,D68A,BBBB,008,1000,7FE,0074
68A,AC01,68B,AC01,7FF,BBBB,7FE,0001,BBBB,008,1000
68B,F001,68C,F001,68B,F001,7FE,068B,BBBB,008,1000
68C,F304,68D,F304,68C,F304,7FE,068C,BBBB,008,1000
68D,6E0A,68E,6E0A,698,F064,7FE,000A,CB57,008,1000
68E,F201,690,F201,68E,F201,7FE,0001,CB57,008,1000
690,4E07,691,4E07,698,F064,7FE,0007,BBBB,009,1001
691,0500,692,0500,691,BBBB,7FE,0691,7776,003,0011
692,0500,693,0500,692,7776,7FE,0692,EEEC,00A,1010
693,6E05,694,6E05,699,0061,7FE,0005,EE8B,009,1001
694,CE01,696,CE01,694,0696,7FE,0001,EE8B,009,1001
696,EC01,697,EC01,7FF,EE8B,7FE,0001,EE8B,009,1001,7FF,EE8B
697,0A00,074,0A00,7FE,0074,7FF,0697,EE8B,009,1001
074,0800,075,0800,7FF,EE8B,000,0074,EE8B,009,1001
075,0740,076,0740,075,0740,000,0075,EE8A,009,1001
076,4E05,077,4E05,07C,DD17,000,0005,CBA1,009,1001
077,EE04,078,EE04,07C,CBA1,000,0004,CBA1,009,1001,07C,CBA1
078,0100,079,0100,078,0100,000,0078,CBA1,009,1001
